SAPD-2023-0374231,"2023-03-18 00:00:03","Disturbance Family","900 ELDORADO ST",SOUTH
SAPD-2023-0374233,"2023-03-18 00:00:26","Traffic Related","FREDERICKSBURG RD / WURZBACH RD",PRUE
SAPD-2023-0374236,"2023-03-18 00:00:50","Patrol By","401-499 CAMARON",CENTRAL
SAPD-2023-0374237,"2023-03-18 00:00:52",Disturbance,"600 CLOVIS PLACE",SOUTH
SAPD-2023-0374250,"2023-03-18 00:03:58",Disturbance,"400 HOT WELLS",SOUTH
SAPD-2023-0374253,"2023-03-18 00:04:39","Missing Person/Runaway","S ALAMO ST / E CESAR CHAVEZ BLVD",CENTRAL
SAPD-2023-0374255,"2023-03-18 00:04:57",Disturbance,"1300 E GRAYSON ST",EAST
SAPD-2023-0374256,"2023-03-18 00:05:11","Burglary in Progress","1200 AUSTIN HWY",NORTH
SAPD-2023-0374258,"2023-03-18 00:05:38",Fight,"7300 N LOOP 1604 W",PRUE
SAPD-2023-0374262,"2023-03-18 00:05:50","Disturbance Barking Dog","21900 RANIER LN",NORTH
SAPD-2023-0374264,"2023-03-18 00:06:50","Disturbance Loud Music","200 TANGO DR",NORTH
SAPD-2023-0374267,"2023-03-18 00:07:19","Traffic Violation","500 E MAGNOLIA AVE",CENTRAL
SAPD-2023-0374269,"2023-03-18 00:07:33","Suspicious Person","900 N MITTMAN ST",EAST
SAPD-2023-0374272,"2023-03-18 00:08:11",Disturbance,"7200 IH 35 S",SOUTH
SAPD-2023-0374274,"2023-03-18 00:08:41",Disturbance,"3800 LOCKHILL-SELMA RD",PRUE
SAPD-2023-0374279,"2023-03-18 00:09:48",Prowler,"400 SHADYWOOD LN",NORTH
SAPD-2023-0374280,"2023-03-18 00:09:51",Disturbance,"1000 SCHLEY AVE",EAST
SAPD-2023-0374284,"2023-03-18 00:11:01","Patrol By","100 S JOSEPHINE TOBIN",WEST
SAPD-2023-0374287,"2023-03-18 00:11:56","Disturbance Family","12600 JUDSON RD",NORTH
SAPD-2023-0374293,"2023-03-18 00:13:41",Information,"4100 HILLSWIND",NORTH
SAPD-2023-0374294,"2023-03-18 00:13:49",Disturbance,"500 N SANTA ROSA",CENTRAL
SAPD-2023-0374295,"2023-03-18 00:13:57","Disturbance Loud Music","100 SLIGO ST",SOUTH
SAPD-2023-0374312,"2023-03-18 00:18:00","Traffic Related","W WOODLAWN AVE / FREDERICKSBURG RD",CENTRAL
SAPD-2023-0374313,"2023-03-18 00:18:01","Suspicious Person","DEWHURST RD / LIVELY",CENTRAL
SAPD-2023-0374318,"2023-03-18 00:19:24","Wrong Way Driver","TEZEL RD / DOVER RDG",PRUE
SAPD-2023-0374319,"2023-03-18 00:19:44",Disturbance,"500 S ACME RD",WEST
SAPD-2023-0374320,"2023-03-18 00:19:59","Disturbance Loud Music","300 CUPPLES RD",CENTRAL
SAPD-2023-0374324,"2023-03-18 00:20:59","Disturbance Family","3700 ALGO DULCE",SOUTH
SAPD-2023-0374325,"2023-03-18 00:21:14","Suspicious Person","800 FLAME CIR",SOUTH
SAPD-2023-0374326,"2023-03-18 00:21:38","Disturbance Loud Music","100 E DULLNIG CT",SOUTH
SAPD-2023-0374327,"2023-03-18 00:22:00","Suspicious Vehicle","4900 NW LOOP 410",WEST
SAPD-2023-0374329,"2023-03-18 00:23:18","Suspicious Vehicle","2200 ELAND DR",CENTRAL
SAPD-2023-0374333,"2023-03-18 00:24:40","Suspicious Vehicle","500 S ACME RD",WEST
SAPD-2023-0374335,"2023-03-18 00:25:14",Disturbance,"5300 W MILITARY DR",SOUTH
SAPD-2023-0374336,"2023-03-18 00:25:55",Theft,"800 E COMMERCE ST",CENTRAL
SAPD-2023-0374338,"2023-03-18 00:26:16","Wanted Person","600 CLOVIS PLACE",SOUTH
SAPD-2023-0374339,"2023-03-18 00:26:29","Recovered Stolen Property","600 BALTZELL AVE",SOUTH
SAPD-2023-0374340,"2023-03-18 00:26:35",Disturbance,"9500 STATE HWY 151",WEST
SAPD-2023-0374342,"2023-03-18 00:27:08",Disturbance,"1500 KEATS AVE",SOUTH
SAPD-2023-0374344,"2023-03-18 00:27:24",Disturbance,"9500 SILVER CROWN",PRUE
SAPD-2023-0374345,"2023-03-18 00:27:30",Burglary,"9400 WURZBACH RD",PRUE
SAPD-2023-0374346,"2023-03-18 00:27:35","Traffic Related","STATE HWY 151 SB / CASTROVILLE RD",WEST
SAPD-2023-0374348,"2023-03-18 00:27:51","Theft In Progress","1400 N MAIN AVE",CENTRAL
SAPD-2023-0374350,"2023-03-18 00:28:38","Burglary in Progress","100 LA GARDE ST",SOUTH
SAPD-2023-0374351,"2023-03-18 00:29:01","Suspicious Person","3900 SHERRIL BROOK DR",WEST
SAPD-2023-0374352,"2023-03-18 00:29:06",Disturbance,"1900 S ZARZAMORA ST",CENTRAL
SAPD-2023-0374353,"2023-03-18 00:29:19","Burglary Vehicle","11500 W LOOP 1604 N",PRUE
SAPD-2023-0374356,"2023-03-18 00:30:12","Burglary Vehicle","11800 BANDERA RD",PRUE
SAPD-2023-0374359,"2023-03-18 00:30:50",Disturbance,"12800 WEST AVE",NORTH
SAPD-2023-0374363,"2023-03-18 00:31:34",Disturbance,"6300-6307 SUN VALLEY",SOUTH
SAPD-2023-0374368,"2023-03-18 00:32:53",Disturbance,"200 BROADWAY",CENTRAL
SAPD-2023-0374372,"2023-03-18 00:34:00","Disturbance Loud Music","18700 REDLAND RD",NORTH
SAPD-2023-0374373,"2023-03-18 00:34:24",DWI,"IH 10 W NB / CALLAGHAN RD",PRUE
SAPD-2023-0374376,"2023-03-18 00:34:37",Disturbance,"500 MT VERNON CT",SOUTH
SAPD-2023-0374377,"2023-03-18 00:35:14","Traffic Related","2652-3398 IH 10 W SB",WEST
SAPD-2023-0374378,"2023-03-18 00:35:16","Suspicious Vehicle","HUNTERS POND / FISHING STONE",SOUTH
SAPD-2023-0374382,"2023-03-18 00:35:41","Patrol By","100 ALEXANDER",WEST
SAPD-2023-0374385,"2023-03-18 00:36:19","Traffic Related","IH 35 S NB / W CESAR CHAVEZ BLVD",CENTRAL
SAPD-2023-0374386,"2023-03-18 00:36:28","Disturbance Neighbor","5100 NW LOOP 410",WEST
SAPD-2023-0374388,"2023-03-18 00:37:12",Disturbance,"1900 DONALDSON AVE",WEST
SAPD-2023-0374391,"2023-03-18 00:38:34","Theft of Vehicle","2900 MOSSROCK DR",PRUE
SAPD-2023-0374393,"2023-03-18 00:38:45","Burglary in Progress","14600 HUEBNER RD",PRUE
SAPD-2023-0374396,"2023-03-18 00:40:30","Traffic Related","NW LOOP 410 EB / JACKSON-KELLER RD",CENTRAL
SAPD-2023-0374398,"2023-03-18 00:41:22","Traffic Related","HUEBNER OAKS / HUEBNER RD",PRUE
SAPD-2023-0374401,"2023-03-18 00:41:40","Welfare Check","21600 STONEWALL PKWY",PRUE
SAPD-2023-0374402,"2023-03-18 00:42:04",Disturbance,"7800 WURZBACH RD",PRUE
SAPD-2023-0374409,"2023-03-18 00:43:49",Disturbance,"800 E PARK AVE",CENTRAL
SAPD-2023-0374410,"2023-03-18 00:43:56","Traffic Related","W0 NW LOOP 410 OFRP NW MILITARY HWY","SAPD OUTSIDE AREA"
SAPD-2023-0374411,"2023-03-18 00:44:07","Disturbance Loud Music","400 RANMAR AVE",SOUTH
SAPD-2023-0374415,"2023-03-18 00:44:39","Welfare Check","8300 POTRANCO RD",WEST
SAPD-2023-0374416,"2023-03-18 00:45:21",Disturbance,"7700 CULEBRA RD",WEST
SAPD-2023-0374417,"2023-03-18 00:45:42","Traffic Related","RANDOLPH BLVD / CRESTWAY RD",NORTH
SAPD-2023-0374421,"2023-03-18 00:47:24",Theft,"5900 CALLAGHAN RD",WEST
SAPD-2023-0374422,"2023-03-18 00:47:36","Disturbance Family","1600 WYCOMBE",NORTH
SAPD-2023-0374423,"2023-03-18 00:47:49","Disturbance Family","6800 ENCHANTED SPRING DR",PRUE
SAPD-2023-0374424,"2023-03-18 00:48:09",Theft,"2700 N ST MARY'S ST",CENTRAL
SAPD-2023-0374427,"2023-03-18 00:49:05","Animal Related","2400 S CALAVERAS",CENTRAL
SAPD-2023-0374428,"2023-03-18 00:49:06","Welfare Check","600 FLORIDA",EAST
SAPD-2023-0374429,"2023-03-18 00:49:08","Suspicious Person","2300 ROOSEVELT AVE",SOUTH
SAPD-2023-0374430,"2023-03-18 00:49:10","Traffic Related","2700-2798 PLEASANTON RD",SOUTH
SAPD-2023-0374432,"2023-03-18 00:49:59","Disturbance Loud Music","7100 OAKLAWN",PRUE
SAPD-2023-0374433,"2023-03-18 00:50:07","Burglary Vehicle","8000 PINEBROOK DR",PRUE
SAPD-2023-0374436,"2023-03-18 00:51:15","Theft of Vehicle","100 SOLEDAD ST",CENTRAL
SAPD-2023-0374440,"2023-03-18 00:52:50","Patrol By","200 ALEXANDER",WEST
SAPD-2023-0374445,"2023-03-18 00:54:07",Disturbance,"1500 S GEVERS ST",EAST
SAPD-2023-0374446,"2023-03-18 00:54:22","Theft In Progress","23500 IH 10 W",PRUE
SAPD-2023-0374449,"2023-03-18 00:55:10","Disturbance Loud Music","8100 BROADWAY",NORTH
SAPD-2023-0374450,"2023-03-18 00:55:15","Theft In Progress","13400 NACOGDOCHES RD",NORTH
SAPD-2023-0374453,"2023-03-18 00:55:54",Disturbance,"1100 N FRIO ST",CENTRAL
SAPD-2023-0374454,"2023-03-18 00:56:05",Information,"5800 CLIFF PATH",PRUE
SAPD-2023-0374456,"2023-03-18 00:56:27","Disturbance Loud Music","300 RIVAS ST",CENTRAL
SAPD-2023-0374457,"2023-03-18 00:56:27",Disturbance,"3000 SE MILITARY DR",SOUTH
SAPD-2023-0374459,"2023-03-18 00:57:10","Burglary Vehicle","11500 W LOOP 1604 N",PRUE
SAPD-2023-0374462,"2023-03-18 00:58:13","Suspicious Person","9300 DARTBROOK",PRUE
SAPD-2023-0374463,"2023-03-18 00:58:20","Holdup Alarm In Progress","100 ALAMO PLAZA",CENTRAL
SAPD-2023-0374464,"2023-03-18 00:58:35","Property Found","9800 AIRPORT BLVD",AIRPORT
SAPD-2023-0374465,"2023-03-18 00:58:37","Suspicious Vehicle","100 HEIMAN",EAST
SAPD-2023-0374466,"2023-03-18 00:58:46","Disturbance Loud Music","16200 US HWY 281 N",NORTH
SAPD-2023-0374467,"2023-03-18 00:59:08",Disturbance,"100 LAMAR ST",EAST
SAPD-2023-0374469,"2023-03-18 00:59:38",Disturbance,"6000 IH 10 W",CENTRAL
SAPD-2023-0374470,"2023-03-18 01:00:00","Burglary Vehicle","500 E CROCKETT ST",EAST
SAPD-2023-0374474,"2023-03-18 01:00:07","Disturbance Loud Music","700 BYNUM AVE",SOUTH
SAPD-2023-0374478,"2023-03-18 01:00:22",Disturbance,"6800 INGRAM RD",WEST
SAPD-2023-0374480,"2023-03-18 01:00:52","Recovered Stolen Property","6000 NW LOOP 410",WEST
SAPD-2023-0374486,"2023-03-18 01:02:21","Cutting In Progress","4500 N LOOP 1604 W",PRUE
SAPD-2023-0374488,"2023-03-18 01:03:25","Officer In Trouble In Progress","6000 MCCULLOUGH AVE",CENTRAL
SAPD-2023-0374494,"2023-03-18 01:05:07",Disturbance,"2600 NACOGDOCHES RD",NORTH
SAPD-2023-0374495,"2023-03-18 01:05:17","Suspicious Person","MOUNTAIN LODGE / MOUNTAIN MIST",NORTH
SAPD-2023-0374502,"2023-03-18 01:07:08",Disturbance,"1900 S SAN MARCOS",CENTRAL
SAPD-2023-0374508,"2023-03-18 01:08:39","Disturbance Loud Music","200 TERRY CT",CENTRAL
SAPD-2023-0374509,"2023-03-18 01:09:00",Disturbance,"4900 NW LOOP 410",WEST
SAPD-2023-0374510,"2023-03-18 01:09:20",Disturbance,"25100 IH 10 W",PRUE
SAPD-2023-0374512,"2023-03-18 01:09:33","Assist the Public","500 W ELMIRA ST",CENTRAL
SAPD-2023-0374513,"2023-03-18 01:09:45","Disturbance Loud Music","BEL AIR DR / ANCHOR DR",NORTH
SAPD-2023-0374517,"2023-03-18 01:10:27","Suspicious Person","700 W MAYFIELD BLVD",SOUTH
SAPD-2023-0374518,"2023-03-18 01:10:42","Theft of Vehicle","600 E MISTLETOE AVE",CENTRAL
SAPD-2023-0374519,"2023-03-18 01:11:13",Disturbance,"8100 BROADWAY",NORTH
SAPD-2023-0374521,"2023-03-18 01:12:00",Drunk,"100 ALAMO PLAZA",CENTRAL
SAPD-2023-0374525,"2023-03-18 01:13:34",Information,"4000 E SOUTHCROSS BLVD",EAST
